Name,Country,Title,Wikipedia Page,Status,Roles,Chief Executive,Mode of Selection,Birthday,Age,Gender,In office since,Years in office,Beginning of current term,Current term length in years,Time left in current term,Consecutive terms under current constitutional framework,Maximum number of consecutive terms allowed,Noteworthy,Notes,Interesting stuff
Moussa Faki,African Union,Chair of the African Union Commission,https://en.wikipedia.org/wiki/Moussa_Faki,Incumbent,Head of Government,checked,Indirect election,1969-06-21,50,Male,2017-03-14,2.7,2017-03-14,4,1.3,1,2,,,
Abdelkader Bensalah,Algeria,Acting President of Algeria,https://en.wikipedia.org/wiki/Abdelkader_Bensalah,Acting,Head of State,checked,Direct election,1937-03-02,82,Male,2019-04-02,0.7,2014-04-28,5,-0.6,1,2,Changed constitutional term limits for own benefit,Is limited to 90 days in office during which elections must be held.,
Nourreddine Bedoui,Algeria,Prime Minister of Algeria,https://en.wikipedia.org/wiki/Nourreddine_Bedoui,Incumbent,Head of Government,,Appointment,1959-12-22,59,Male,2019-03-11,0.7,2019-03-11,99,98.3,1,99,,,
Joao Lourenco,Angola,President of the Republic of Angola,https://en.wikipedia.org/wiki/Joao_Lourenco,Incumbent,Head of State,checked,Direct election,1954-03-05,65,Male,2017-09-26,2.2,2017-09-26,5,2.8,1,2,,,
Patrice Talon,Benin,President of the Republic of Benin,https://en.wikipedia.org/wiki/Patrice_Talon,Incumbent,"Head of State,Head of Government",checked,Direct election,1958-05-01,61,Male,2016-04-06,3.6,2016-04-06,5,1.4,1,2,,,
Mokgweetsi Masisi,Botswana,President of the Republic of Botswana,https://en.wikipedia.org/wiki/Mokgweetsi_Masisi,Incumbent,"Head of State,Head of Government,Ceremonial",checked,Indirect election,1961-06-21,58,Male,2018-04-01,1.7,2018-04-01,5,3.3,1,2,,"President is elected every time parliament is dissolved, at least every 5 years, or when the office is vacant. A 10 year limit on the presidency applies to any one person.",
Roch Marc Christian Kabore,Burkina Faso,President of Burkina Faso ,https://en.wikipedia.org/wiki/Roch_Marc_Christian_Kabore,Incumbent,Head of State,checked,Direct election,1957-04-25,62,Male,2015-12-29,3.9,2015-12-29,5,1.1,1,2,,,
Christophe Joseph Marie Dabiré,Burkina Faso,Prime Minister of Burkina Faso,https://en.wikipedia.org/wiki/Christophe_Joseph_Marie_Dabiré,Incumbent,Head of Government,,Appointment,1948-08-27,71,Male,2019-01-24,0.8,2019-01-24,99,98.2,1,99,,,
Pierre Nkurunziza,Burundi,President of the Republic of Burundi,https://en.wikipedia.org/wiki/Pierre_Nkurunziza,Incumbent,Head of State,checked,Direct election,1963-12-18,55,Male,2005-08-26,14.3,2015-08-20,7,2.7,1,2,Changed constitutional term limits for own benefit,,
Paul Biya,Cameroon,President of the Republic of Cameroon,https://en.wikipedia.org/wiki/Paul_Biya,Incumbent,Head of State,checked,Direct election,1933-02-13,86,Male,1982-11-06,37.1,2018-11-06,7,5.9,7,99,,,
Joseph Ngute,Cameroon,Prime Minister of Cameroon,https://en.wikipedia.org/wiki/Joseph_Ngute,Incumbent,Head of Government,,Appointment,1954-03-12,65,Male,2019-01-04,0.9,2019-01-04,99,98.2,1,99,,,
Jorge Carlos Fonseca,Cape Verde,President of the Republic of Cape Verde,https://en.wikipedia.org/wiki/Jorge_Carlos_Fonseca,Incumbent,Head of State,checked,Direct election,1959-10-20,60,Male,2011-09-09,8.2,2016-10-20,5,1.9,2,2,First came to power under unconstitutional or questionable circumstances,,
Ulisses Correia e Silva,Cape Verde,Prime Minister of Cape Verde,https://en.wikipedia.org/wiki/Ulisses_Correia_e_Silva,Incumbent,Head of Government,,Appointment,1962-06-04,57,Male,2016-04-22,3.6,2016-04-22,99,95.5,1,99,,,
Faustin-Archange Touadera,Central African Republic,President of the Central African Republic,https://en.wikipedia.org/wiki/Faustin-Archange_Touadera,Incumbent,Head of State,checked,Direct election,1957-04-21,62,Male,2016-03-30,3.7,2016-03-30,5,1.3,1,2,,,
Firmin Ngrébada,Central African Republic,Prime Minister of the Central African Republic,https://en.wikipedia.org/wiki/Firmin_Ngrébada,Incumbent,Head of Government,,Appointment,1968-05-24,51,Male,2019-02-25,0.8,2019-02-25,99,98.3,1,99,,,
Idriss Deby Itno,Chad,President of the Republic of Chad,https://en.wikipedia.org/wiki/Idriss_Deby_Itno,Incumbent,Head of State,checked,Direct election,1952-06-18,67,Male,1990-12-02,29.0,2016-03-09,5,1.3,5,99,First came to power under unconstitutional or questionable circumstances,,
Azali Assoumani,Comoros,President of the Union of the Comoros,https://en.wikipedia.org/wiki/Azali_Assoumani,Incumbent,"Head of State,Head of Government",checked,Direct election,1959-01-01,60,Male,2016-05-26,3.5,2016-05-26,5,1.5,1,1,Changed constitutional term limits for own benefit,,
Alassane Ouattara,Côte d'Ivoire,President of the Republic of Côte d'Ivoire,https://en.wikipedia.org/wiki/Alassane_Ouattara,Incumbent,Head of State,checked,Direct election,1942-01-01,77,Male,2010-12-04,9.0,2015-11-03,5,0.9,2,2,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit",,
Amadou Gon Coulibaly,Côte d'Ivoire,Prime Minister of Côte d'Ivoire,https://en.wikipedia.org/wiki/Amadou_Gon_Coulibaly,Incumbent,Head of Government,,Appointment,1959-02-10,60,Male,2017-01-10,2.9,2017-01-10,99,96.2,1,99,,,
Ismail Omar Guelleh,Djibouti,President of the Republic of Djibouti,https://en.wikipedia.org/wiki/Ismail_Omar_Guelleh,Incumbent,Head of State,checked,Direct election,1946-11-27,73,Male,1999-05-08,20.6,2016-05-08,5,1.4,2,99,"Close family member has occupied same or higher office,First came to power under unconstitutional or questionable circumstances",,
Abdoulkader Kamil Mohamed,Djibouti,Prime Minister of Djibouti,https://en.wikipedia.org/wiki/Abdoulkader_Kamil_Mohamed,Incumbent,Head of Government,,Appointment,1951-07-01,68,Male,2013-04-01,6.7,2013-04-01,99,92.4,1,99,,,
Felix Tshisekedi,DR of the Congo,President of the Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Felix_Tshisekedi,Incumbent,Head of State,checked,Direct election,1963-06-13,56,Male,2019-01-24,0.8,2019-01-24,5,4.2,1,2,First came to power under unconstitutional or questionable circumstances,,
Sylvestre Ilunga,DR of the Congo,Prime Minister of the Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Sylvestre_Ilunga,Incumbent,Head of Government,,Appointment,1947-01-01,72,Male,2019-09-07,0.2,2019-09-07,99,98.8,1,99,,,
Abdel Fattah el-Sisi,Egypt,President of the Arab Republic of Egypt,https://en.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,Incumbent,Head of State,checked,Direct election,1954-11-19,65,Male,2014-06-08,5.5,2018-06-02,4,2.5,2,2,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit",,
Moustafa Madbouly,Egypt,Prime Minister of Egypt,https://en.wikipedia.org/wiki/Moustafa_Madbouly,Incumbent,Head of Government,,Appointment,1966-03-01,53,Male,2018-06-14,1.5,2018-06-14,99,97.6,1,99,,,
Teodoro Obiang Nguema Mbasogo,Equatorial Guinea,President of the Republic of Equatorial Guinea,https://en.wikipedia.org/wiki/Teodoro_Obiang_Nguema_Mbasogo,Incumbent,Head of State,checked,Direct election,1942-06-05,77,Male,1979-08-03,40.3,2016-05-20,7,3.5,1,2,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit",,
Francisco Pascual Obama Asue,Equatorial Guinea,Prime Minister of Equatorial Guinea,https://en.wikipedia.org/wiki/Francisco_Pascual_Obama_Asue,Incumbent,Head of Government,,Appointment,1949-04-23,70,Male,2016-06-23,3.4,2016-06-23,99,95.6,1,99,,,
Isaias Afwerki,Eritrea,President of the State of Eritrea,https://en.wikipedia.org/wiki/Isaias_Afwerki,Incumbent,"Head of State,Head of Government",checked,Direct election,1946-02-02,73,Male,1991-05-24,28.5,1991-05-24,99,70.5,,,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit","Since independence in 1991, there have been no elections in Eritrea. The 1997 constitution, which was ratified but not implemented, would see the President being elected by the National Assembly and be limited to two five year terms.",
Mswati III,Eswatini,Ngwenyama of Eswatini,https://en.wikipedia.org/wiki/Mswati_III,Incumbent,Head of State,checked,Hereditary office,1968-04-19,51,Male,1986-04-25,33.6,1986-04-25,99,65.5,,,Close family member has occupied same or higher office,"An absolute monarchy, the Eswatini King has absolute executive and legislative power under the constitution. He himself is not beholden to any of the limits the constitution sets out for the state in respect to its citizens and he reigns until death or the appintment of a successor.",
Ambrose Mandvulo Dlamini,Eswatini,Prime Minister of Eswatini,https://en.wikipedia.org/wiki/Ambrose_Mandvulo_Dlamini,Incumbent,Head of Government,,Appointment,1968-03-05,51,Male,2018-10-27,1.1,2018-10-27,99,98.0,1,99,,,
Sahle-Work Zewde,Ethiopia,President of Ethiopia,https://en.wikipedia.org/wiki/Sahle-Work_Zewde,Incumbent,"Head of State,Ceremonial",,Indirect election,1950-02-21,69,Female,2018-10-25,1.1,2018-10-25,6,4.9,1,2,,Ethiopia's president is elected by a 2/3 majortiy of a joint session of both houses of Parliament and has almost no influence on the functioning of the executive.,
